journal	issn	url
ARQ: architectural research quarterly	1359-1355	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21163559460003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1359-1355&offset=0&journals=any,1359-1355
Arquitecturas del Sur	0716-2677	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS30042555&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0716-2677&offset=0&journals=any,0716-2677
Arris	1048-5945	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS988875952&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1048-5945&offset=0&journals=any,1048-5945
Art bulletin	0004-3079	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0004-3079&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0004-3079
Arte Lombarda	0004-3443	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS564070415&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0004-3443&offset=0&journals=any,0004-3443
Arte y ciudad	2254-7673	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS899365718&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2254-7673&offset=0&journals=any,2254-7673
Artes de Mexico	0300-4953	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0300-4953&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0300-4953
Australian planner	0729-3682	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS224487118&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0729-3682&offset=0&journals=any,0729-3682
Baumeister	0005-674X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS565143636&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0005-674X&offset=0&journals=any,0005-674X
Berkeley Planning Journal	1047-5192	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS11336832&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1047-5192&offset=0&journals=any,1047-5192
Blueprint (London, England)	0268-4926	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS10768478&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0268-4926&offset=0&journals=any,0268-4926
Bollettino d'arte	0394-4573	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21265059510003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0394-4573&offset=0&journals=any,0394-4573
Buildings	2075-5309	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS823191594&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2075-5309&offset=0&journals=any,2075-5309
Built environment	0263-7960	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS565613641&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0263-7960&offset=0&journals=any,0263-7960
